Item Number,Item Title,Item Description,Treatment Friendly Name,Private,Medicare,Vet Affairs,VGDS,VGDS PAT,Surfaces,,,,,,,,,,,,,,,,
221,Clinical periodontal analysis and recording,"A special examination performed as part of the diagnosis and management of periodontal disease, assessing and recording a patient’s periodontal condition.",Clinical periodontal analysis/recording,60,0,60.15,0,0,,,,,,,,,,,,,,,,,
222,Periodontal debridement – per tooth,Mechanical removal of biofilm and calculus from a periodontally diseased tooth to a level consistent with periodontal health.,Root planing and subgingival curettage - per tooth,30,63,29.6,0,0,,,,,,,,,,,,,,,,,
223,Non-surgical treatment of peri-implant disease – per implant,Debridement using specialized instrumentation to remove the microbial biofilm from the implant and/or abutment surface.,Non surgical trearment of peri-implant disease (per implant) ,0,0,28,0,0,,,,,,,,,,,,,,,,,
231,Gingivectomy – per tooth,"Surgical removal of the soft tissue wall of the periodontal pocket or swollen, excess gingival tissue.",Gingivectomy per 8 teeth or less,390,0,0,0,0,,,,,,,,,,,,,,,,,
232,Periodontal flap surgery – per tooth,Incision and raising of a flap of gingival tissue to enable removal of inflammatory or granulation tissue.,Periodontal flap surgery - per 8 teeth or less,480,0,0,0,0,,,,,,,,,,,,,,,,,
233,Surgical treatment of peri-implant disease – per implant,Surgical access and flap elevation of the peri-implant soft tissues to access the implant surface for decontamination.,Surgical treatment of peri-implant disease - per implant,328.5,0,0,0,0,,,,,,,,,,,,,,,,,
234,Application of biologically active material,Application of a biologically active material in conjunction with periodontal surgery to enhance reattachment or regeneration.,,,,,,,,,,,,,,,,,,,,,,,
235,"Gingival graft – per tooth, implant or extraction socket","Transference or transplanting gingival or other soft tissue from a donor area to an area around a tooth, implant, or extraction socket to remedy a gingival deficiency.",Osseous graft,620,0,0,0,0,,,,,,,,,,,,,,,,,
236,Guided tissue regeneration – per tooth or implant,"A surgical technique in which a membrane is adapted over a bony defect, the tooth root, or an implant.",Gingival graft - per tooth or implant,440,0,0,0,0,,,,,,,,,,,,,,,,,
237,Guided tissue regeneration – membrane removal,Surgical procedure to remove a previously positioned membrane.,,,,,,,,,,,,,,,,,,,,,,,
238,Periodontal surgery for crown lengthening – per tooth,A procedure to establish a more apical gingival margin for greater exposure of tooth structure.,Guided tissue regeneration - surgical removal crown lengthen,380,0,406,0,0,,,,,,,,,,,,,,,,,
239,Gingival xenograft – per tooth,Insertion of a xenograft to remedy a gingival deficiency.,,,,,,,,,,,,,,,,,,,,,,,
241,Root resection – per root,Removal or amputation of one or more roots of a multi-rooted tooth with or without a portion of the crown.,Root resection - per root,0,0,232.55,0,0,,,,,,,,,,,,,,,,,
242,Osseous surgery – per tooth or implant,Reshaping and modifying defects and deformities in the bone supporting and surrounding the tooth or implant.,,,,,,,,,,,,,,,,,,,,,,,
243,Osseous graft – per tooth or implant,"A surgical procedure in which particulate bone, a synthetic substitute or other matrix is used to replace, repair, or augment alveolar bone.",Osseous Graft,2871.18,0,0,0,0,,,,,,,,,,,,,,,,,
244,Osseous graft – block,"A surgical procedure in which a block of bone is used for augmentation of a bony ridge, secured by screws or similar devices.",,,,,,,,,,,,,,,,,,,,,,,
245,Periodontal surgery involving one tooth,Surgical intervention to aid the resolution of a localized periodontal inflammatory condition involving one tooth.,Periodontal surgery,0,0,85.25,0,0,,,,,,,,,,,,,,,,,
246,Maxillary sinus augmentation – trans-alveolar technique – per sinus,"Surgical access to the maxillary sinus via the implant osteotomy site, may involve simultaneous placement of dental implants.",Maxillary sinus augmentation (Trans-alveolar technique per sinus),750,0,0,0,0,,,,,,,,,,,,,,,,,
247,Maxillary sinus augmentation – lateral wall approach – per sinus,"Surgical access to the maxillary sinus via a lateral wall approach with bone grafting, may involve simultaneous placement of dental implants.",Maxillary sinus augmentation (Lateral wall approach per sinus),1519.4,0,0,0,0,,,,,,,,,,,,,,,,,
250,Active non-surgical periodontal therapy – per quadrant,Non-surgical management of uncontrolled periodontal disease in a quadrant with at least three teeth with clinical attachment loss or pocketing.,,,,,,,,,,,,,,,,,,,,,,,
251,Supportive periodontal therapy – per appointment,"Maintenance of periodontal health subsequent to active, non-surgical, or surgical periodontal therapy.",,,,,,,,,,,,,,,,,,,,,,,
111,Removal of plaque and/or stain,Removal of dental plaque and/or stain from the surfaces of all teeth and/or implants.,Removal plaque & or stain,65,27,57.75,0,0,,,,,,,,,,,,,,,,,
113,Recontouring and polishing of pre-existing restoration(s) – per tooth,The reshaping and polishing of pre-existing restorations.,Plaque Removal / Prophylaxis Recontouring pre-existing restoration(s),35,0,21 85,0,0,,,,,,,,,,,,,,,,,
114,Removal of calculus – first appointment,Removal of calculus from the surfaces of teeth and/or implants.,Reeontourjng Restoration / Tooth Removal of calculus - 1st visit,180,49,101.9,0,0,,,,,,,,,,,,,,,,,
115,Removal of calculus – subsequent appointment,Procedures described in item 114 when an additional appointment(s) is required to remove deposits from the teeth and/or implants.,Removal of calculus and plaque subseqt visit,150,48,66.3,0,0,,,,,,,,,,,,,,,,,
116,Enamel micro-abrasion – per tooth,The chemo-physical removal of discoloured and/or other surface enamel defects.,Enamel micro-abrasion - per tooth,0,0,0,0,0,,,,,,,,,,,,,,,,,
117,"Bleaching, internal – per application",Modification of the color of the discolored crown of an endodontically treated tooth using chemical and/or physical methods.,"Bleaching, intern - per tooth bleaching, internal - per tooth",250,0,206.05,0,0,,,,,,,,,,,,,,,,,
118,"Bleaching, external – per tooth",Modification of the color of a tooth using chemical and/or physical methods applied externally.,Bleaching. extern - per tooth,50,0,0,0,0,,,,,,,,,,,,,,,,,
119,"Bleaching, home application","Provision of clinical advice, risk advice, use instructions, and necessary professional supervision for application by a patient at home.","Bleaching, external - per tooth Bleaching, home applic - per arch",100,0,0,0,0,,,,,,,,,,,,,,,,,
121,"Topical application of remineralisation agents, one treatment",Application of remineralisation agents to the surfaces of the teeth.,Bleaching. home application - per arch Topical application fluoride (1st treatment),40,21,39.3,0,0,,,,,,,,,,,,,,,,,
122,"Topical remineralisation agents, home application – per arch","The prescribed use, by a patient at home, of a custom-made tray for the application of remineralisation agents.","Topical fluoride, home applic - per arch",0,0,0,0,0,,,,,,,,,,,,,,,,,
